                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5565,                 4.8073,                 2.4053,                0.00098,                0.24242,                0.00383,                0.00151,                 2.0492,                 3.9919,                  2.003,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 2.6348,                 4.9718,                 2.6553,                0.00095,                0.24242,                 0.0133,                 0.0058,                 2.1512,                 4.0188,                 2.0891,             7.0035e-05,             7.0035e-05,             7.0035e-05
                      3,                 2.3328,                 5.0675,                 2.2372,                0.00154,                 0.3697,                0.05635,                0.04053,                 1.5482,                 3.8396,                 1.6191,             0.00010979,             0.00010979,             0.00010979
                      4,                 1.7638,                 4.6245,                 1.7755,                0.00266,                0.46667,                0.17523,                0.05544,                 1.1896,                 3.6936,                 1.3403,             0.00014785,             0.00014785,             0.00014785
                      5,                  1.636,                 3.9982,                  1.632,                0.00447,                    0.6,                0.21681,                0.07498,                 1.0673,                 3.6055,                 1.2366,             0.00018422,             0.00018422,             0.00018422
                      6,                 1.2307,                 3.0779,                  1.377,                0.00457,                0.96667,                 0.3903,                0.17514,                 1.0806,                 3.5081,                 1.2178,             0.00021888,             0.00021888,             0.00021888
                      7,                 1.3159,                  2.805,                 1.4537,                0.00439,                      1,                0.47974,                0.24929,                 1.0464,                 3.3005,                 1.1432,             0.00025185,             0.00025185,             0.00025185
                      8,                 1.2611,                  3.199,                 1.3845,                0.00418,                      1,                0.48143,                0.26117,                0.98121,                 3.2287,                 1.0854,             0.00028312,             0.00028312,             0.00028312
                      9,                  1.239,                 2.5262,                 1.2522,                0.00382,                      1,                0.51828,                0.24842,                0.93938,                 3.2224,                  1.116,             0.00031269,             0.00031269,             0.00031269
                     10,                 1.2259,                 2.4248,                 1.2812,                0.00396,                      1,                0.54632,                0.24895,                0.95663,                 3.2624,                 1.1283,             0.00034056,             0.00034056,             0.00034056
                     11,                 1.1151,                  2.705,                 1.2183,                0.00392,                      1,                0.49936,                0.29512,                0.98641,                 3.2643,                 1.1804,             0.00036674,             0.00036674,             0.00036674
                     12,                  1.177,                 2.2858,                 1.2133,                0.00375,                      1,                0.47008,                0.29592,                 1.0387,                 3.1995,                 1.1962,             0.00039122,             0.00039122,             0.00039122
                     13,                 1.0691,                 2.3214,                 1.1354,                0.00364,                      1,                0.52106,                0.30316,                 1.1041,                 3.2332,                 1.2358,               0.000414,               0.000414,               0.000414
                     14,                 1.2528,                 2.1147,                 1.2885,                0.00359,                      1,                0.46919,                0.31303,                  1.004,                 3.2437,                 1.2212,             0.00043508,             0.00043508,             0.00043508
                     15,                 1.1703,                 2.2468,                 1.1655,                  0.003,                 0.9697,                0.34644,                0.13584,                 1.3133,                 3.5413,                 1.4376,             0.00045447,             0.00045447,             0.00045447
                     16,                0.97322,                 1.9204,                 1.1028,                0.00273,                0.90606,                0.23049,                0.08195,                 1.3939,                 3.7103,                 1.5887,             0.00047216,             0.00047216,             0.00047216
                     17,                 1.1429,                  2.512,                 1.2255,                0.00298,                 0.9697,                0.26327,                0.11184,                 1.3072,                 3.5796,                 1.4313,             0.00048815,             0.00048815,             0.00048815
                     18,                0.89957,                 2.1472,                 1.0763,                0.00293,                0.93636,                0.35705,                0.15786,                 1.3351,                  3.516,                 1.4493,             0.00050244,             0.00050244,             0.00050244
                     19,                 1.0568,                 2.1992,                 1.1533,                0.00341,                0.96667,                0.40554,                0.19341,                 1.3163,                 3.2367,                 1.4012,             0.00051503,             0.00051503,             0.00051503
                     20,                 1.1769,                 2.0726,                 1.2465,                0.00358,                0.96667,                0.40325,                0.20108,                 1.3272,                 3.1431,                 1.4454,             0.00052593,             0.00052593,             0.00052593
                     21,                 0.8328,                 2.2092,                 1.0349,                0.84643,                0.31561,                0.38737,                0.20543,                 1.2479,                 3.1671,                 1.4157,             0.00053513,             0.00053513,             0.00053513
                     22,                 1.0535,                  2.072,                  1.133,                0.95614,                0.12121,                0.40351,                0.22203,                 1.2808,                 3.1217,                 1.4922,             0.00054263,             0.00054263,             0.00054263
                     23,                0.93264,                 1.9795,                 1.0828,                 0.8681,                0.09091,                0.40096,                 0.2289,                 1.2794,                 3.0925,                  1.506,             0.00054844,             0.00054844,             0.00054844
                     24,                0.91313,                 1.8884,                 1.0848,                0.78581,                0.19091,                0.43177,                0.24836,                 1.2758,                 3.0521,                  1.486,             0.00055255,             0.00055255,             0.00055255
                     25,                 0.8324,                 2.1419,                 1.0555,                0.88299,                0.34165,                 0.4817,                0.26598,                 1.3256,                 2.9105,                 1.4853,             0.00055496,             0.00055496,             0.00055496
                     26,                 1.0225,                 1.9688,                  1.097,                0.88726,                0.39967,                 0.4821,                0.27821,                 1.3191,                 2.8487,                 1.4228,             0.00055567,             0.00055567,             0.00055567
                     27,                 1.1155,                 2.0177,                  1.196,                0.90805,                0.33664,                0.43116,                0.23402,                 1.3852,                 3.0432,                 1.4151,             0.00055468,             0.00055468,             0.00055468
                     28,                 1.0684,                 1.8697,                 1.1231,                0.90322,                 0.3295,                 0.4658,                0.23395,                 1.4471,                 3.0836,                 1.4686,               0.000552,               0.000552,               0.000552
                     29,                0.97459,                 1.8266,                  1.079,                0.90322,                 0.3295,                 0.4658,                0.23395,                 1.4471,                 3.0836,                 1.4686,             0.00054762,             0.00054762,             0.00054762
                     30,                0.82532,                 1.5263,                0.99828,                0.86534,                0.47879,                0.51933,                0.29119,                 1.4156,                 2.7785,                 1.4983,             0.00054154,             0.00054154,             0.00054154
                     31,                0.92276,                 1.6038,                 1.1053,                0.80012,                0.53437,                0.54331,                0.33105,                 1.3274,                 2.4802,                 1.4179,             0.00053376,             0.00053376,             0.00053376
                     32,                0.87199,                 1.8651,                 1.0392,                0.76975,                0.51853,                0.51353,                0.31175,                 1.2979,                 2.4437,                 1.3912,             0.00052429,             0.00052429,             0.00052429
                     33,                0.88716,                 1.4953,                 1.0477,                0.76975,                0.51853,                0.51353,                0.31175,                 1.2979,                 2.4437,                 1.3912,             0.00051311,             0.00051311,             0.00051311
                     34,                 1.0202,                 2.0622,                 1.1584,                0.77086,                0.52135,                 0.5325,                0.32726,                 1.2261,                 2.2812,                 1.3497,             0.00049529,             0.00049529,             0.00049529
                     35,                0.80824,                 1.6643,                 1.0026,                0.87438,                0.51515,                0.53308,                0.35896,                 1.1912,                  2.197,                 1.3505,               0.000467,               0.000467,               0.000467
                     36,                0.81205,                 1.6378,                 1.1269,                0.82928,                0.48182,                0.50095,                0.35127,                 1.2077,                 2.1601,                 1.2883,              0.0004387,              0.0004387,              0.0004387
                     37,                0.89781,                 1.7083,                 1.0939,                0.82928,                0.48182,                0.50095,                0.35127,                 1.2077,                 2.1601,                 1.2883,             0.00041041,             0.00041041,             0.00041041
                     38,                0.80839,                  1.593,                0.98411,                0.54216,                0.53707,                0.51202,                0.34272,                 1.2364,                 2.1738,                 1.2966,             0.00038211,             0.00038211,             0.00038211
                     39,                0.80572,                  1.321,                0.97885,                0.83106,                0.45764,                0.49907,                0.35828,                 1.2189,                 2.1054,                 1.3064,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.0443,                 1.6692,                 1.1561,                0.81312,                0.48182,                0.48036,                0.35151,                 1.1843,                 1.9983,                 1.2919,             0.00032553,             0.00032553,             0.00032553
                     41,                0.72556,                 2.0152,                 1.1005,                0.81312,                0.48182,                0.48036,                0.35151,                 1.1843,                 1.9983,                 1.2919,             0.00029723,             0.00029723,             0.00029723
                     42,                 0.7456,                 1.8731,                 1.0263,                0.80633,                0.50546,                0.54548,                0.35908,                 1.1816,                  1.955,                 1.2799,             0.00026894,             0.00026894,             0.00026894
                     43,                0.77283,                 1.9404,                0.95548,                0.87436,                0.60017,                0.59115,                0.38559,                 1.1285,                 1.9265,                  1.285,             0.00024064,             0.00024064,             0.00024064
                     44,                0.82942,                  1.678,                 1.1321,                0.89246,                0.59375,                0.60197,                0.41214,                 1.0172,                 1.8909,                 1.2342,             0.00021235,             0.00021235,             0.00021235
                     45,                0.74034,                 1.6379,                0.98594,                0.89246,                0.59375,                0.60197,                0.41214,                 1.0172,                 1.8909,                 1.2342,             0.00018406,             0.00018406,             0.00018406
                     46,                 0.7639,                 1.6812,                0.96831,                0.93797,                 0.5852,                0.60632,                0.43418,                0.93209,                 1.8642,                 1.2171,             0.00015576,             0.00015576,             0.00015576
                     47,                0.70422,                 1.8639,                0.99181,                0.92528,                0.56355,                0.60478,                 0.4399,                0.93042,                 1.8204,                 1.2417,             0.00012747,             0.00012747,             0.00012747
                     48,                0.64842,                 1.7976,                0.95654,                0.90948,                 0.5745,                 0.6075,                0.43351,                0.94709,                 1.7725,                 1.2687,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.67616,                 1.6282,                0.96299,                0.90948,                 0.5745,                 0.6075,                0.43351,                0.94709,                 1.7725,                 1.2687,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.67518,                 1.7402,                  1.035,                0.94119,                0.59841,                0.61074,                0.43862,                0.94099,                 1.7469,                 1.2733,             4.2584e-05,             4.2584e-05,             4.2584e-05
